iter	Passed	Remaining
890	21333	2609
891	21358	2586
892	21382	2562
893	21408	2538
894	21429	2514
895	21451	2489
896	21473	2465
897	21497	2441
898	21520	2417
899	21543	2393
900	21568	2369
901	21594	2346
902	21620	2322
903	21643	2298
904	21668	2274
905	21692	2250
906	21714	2226
907	21737	2202
908	21760	2178
909	21785	2154
910	21809	2130
911	21833	2106
912	21857	2082
913	21881	2058
914	21909	2035
915	21935	2011
916	21960	1987
917	21984	1963
918	22010	1939
919	22035	1916
920	22061	1892
921	22086	1868
922	22112	1844
923	22139	1820
924	22165	1797
925	22189	1773
926	22213	1749
927	22236	1725
928	22261	1701
929	22285	1677
930	22309	1653
931	22335	1629
932	22366	1606
933	22392	1582
934	22415	1558
935	22441	1534
936	22465	1510
937	22494	1486
938	22516	1462
939	22540	1438
940	22563	1414
941	22587	1390
942	22613	1366
943	22638	1342
944	22661	1318
945	22685	1294
946	22709	1270
947	22735	1247
948	22758	1223
949	22781	1199
950	22805	1175
951	22830	1151
952	22854	1127
953	22878	1103
954	22901	1079
955	22925	1055
956	22947	1031
957	22970	1007
958	22995	983
959	23023	959
960	23046	935
961	23069	911
962	23094	887
963	23117	863
964	23140	839
965	23165	815
966	23189	791
967	23217	767
968	23248	743
969	23274	719
970	23303	695
971	23327	671
972	23350	647
973	23374	623
974	23401	600
975	23423	575
976	23451	552
977	23474	528
978	23498	504
979	23521	480
980	23547	456
981	23570	432
982	23592	408
983	23615	383
984	23638	359
985	23667	336
986	23689	312
987	23714	288
988	23737	264
989	23761	240
990	23783	215
991	23806	191
992	23833	168
993	23862	144
994	23890	120
995	23914	96
996	23938	72
997	23960	48
998	23984	24
999	24007	0
